GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,POP_25OV,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,HU_TOT
Lincoln Park,68696.99999,11928,30454,12008,8221.999998,3854.999999,1711.999999,517.9999999,48665.99999,30.44482876,54317.99999,4074,3136,5109,2060,46617.00002,45281.00002,1336.000001,13013.00001,3055.000001,41593.00002,14604.00001,1743.000001,19791.00001,4116.000002,1339,338170.0008,9703.000003,15705.00001,6051.000008,864.0000013,1034,2643,3093,868.9999998,23171,17856,4148.999999,3252,4230.999999,3412,5767,11512,108874.6823,14777,10702,3425.999999,3418,35371.99999
Lincoln Square,41713,7503,13482,10397,6629.999999,2087,956.9999998,657.0000001,32156,34.89399439,26897,7726,1492,3735.000001,1863,27200.00001,25991.00001,1209,8088.000007,1980,23446.00001,11152.00001,1059.000001,9290.000002,1609.000001,336.0000004,219385.0004,3605.999993,9784.999986,4299.999996,657.9999996,2265,4053,4427,1361,12360,7689.999999,2523,3672,3142.999999,2542,3153,3315.999999,73620.64117,6820.999999,6014.999999,3065,2447.999999,19840
Logan Square,72724.00001,14180,28051.00001,16508,8825.000003,3146.000001,1548,466.0000002,53034.00001,32.19589107,34880,30197.00001,3359.000001,2413.000001,1875,47988.9925,46041.27407,1934.718427,13075.15715,2664.41347,42607.24507,20314.39382,2194.787652,15489.60804,3791.531336,816.9242278,520320.0003,6037.180059,14576.16344,7198.443212,1581.966759,5510.000002,9782.000002,6377.000002,2354.000001,18531,10480,4746,5102.000001,4780.999999,3786,5289,5655.000001,75333.4654,9023,11034,4395,4907.000001,32588.99999
Lower West Side,32788.99999,7105.999999,11129,6476.999999,4763.999999,2069,782.0000002,461.9999999,22660,32.49659957,5902.999998,24275,1151,1088,372,19009.00001,17760.00001,1249.000001,8030.000006,497.0000002,16928.00001,7158.000005,1600.000001,5695.000004,2044.000001,430.9999998,299575,3779.000004,5200.000006,2473.000003,807.0000007,6891,4394.999999,3092,1195,4616.999999,2469.999999,3211.000001,3329,2532,1250,1265,672.0000001,45204.43925,3752.000001,3913.000001,2023,2571,13826
McKinley Park,15920,4039.999999,3943,3447.999999,2796,1125,405.9999999,162,10440,34.90448505,2718,8978.999999,156,3929.999999,137,8347.999997,7507.999997,839.9999996,4190.999999,214.9999999,7072.999998,3693.999999,1008,2024.999999,281.9999999,64,100815,804.0000003,2448.000002,1491.000002,500.0000003,2844,3161.999999,1541,669.9999999,1439,783.9999998,1296.999999,1549.999999,887.9999994,527.9999997,672.9999996,306.9999998,46112.06896,1252.999999,1366.999999,996.9999994,1625.999999,5600.999998
Montclare,13863.56562,3509.526434,3128.665805,2694.407394,2276.363772,1383.617376,611.4177447,259.5670979,9367.316085,36.76123768,4157.870242,8494.921999,415.3053603,456.8791127,338.5889094,6859.07527,6394.686695,436.3885756,4119.261831,162.3326797,6159.209372,4592.714888,557.6614371,733.3432216,121.9401813,153.5496443,0,742.3014323,1663.805416,1503.926629,694.4170627,1932.649168,2852.382257,2072.113865,974.1005541,966.9730134,569.0972277,1262.185565,1203.676975,571.1855666,438.6575027,704.9095069,422.0297821,45316.63462,1280.407787,1291.979381,709.7903775,1320.467353,5097.900967
Morgan Park,21694.36365,5440.524724,3238.354069,4042.599683,4946.009572,2106.049443,1262.736843,658.0893143,14936.74482,43.4714565,5885.205748,923.1658698,14274.47847,23.00000006,588.5135565,10141.72633,8974.604347,1167.107811,7479.616322,461.1747921,8295.3209,6082.165848,636.6188623,1341.318879,176.111017,59.10629336,0,1030.982905,3763.104583,2420.217102,877.2914534,1253.295056,3336.862841,3537.125998,1225.602871,2961.250401,2622.607657,1987.347985,1600.6337,1263.615384,945.2014652,1235.67033,1061.084249,61032.15909,2792.282051,2110.168499,1440.113552,1750.989011,9022.608247
Mount Greenwood,19342.00001,5231.000003,3584.000003,3936.000004,4093.000002,1389.000001,718.0000005,391.0000002,13005.00001,37.96193772,16297.00001,1838.000001,615.0000016,370.0000001,222,9921.00005,9561.000048,360.0000021,5366.000023,257.0000012,9069.000045,7525.000037,512.0000041,695.0000034,216.0000002,121.0000002,135790.0012,312.9999993,2007.999995,3378.999991,1050.999998,563.0000002,3011.000001,3434.000002,901.000001,3166.000003,1930.000002,657.0000001,938.0000001,808.0000001,1038,1700,1610,98422.447,1729,2216,971.9999999,1834,7073.999996
Near North Side,89994.99999,7988.999999,37223.99999,15675,14851,8926.999999,4136,1193,75495.99999,34.92502262,63901.99999,5243.999999,7318.999999,11222,2308,62727.00002,60664.00002,2063,20961,4904.000002,54847.00001,15092,1564,15685,18573.00001,3933.000001,91630.00007,23515,26591,5226.000001,516.0000005,1557,3873.999999,6951.999999,2243,31565,29305,8354.999999,5385,7273.999999,6984.999999,9534.999998,18314,99731.56764,32418.99999,18966,3013,1450,66764
Near South Side,24343.00002,3327.000002,8047.000004,6011.000005,4500.000004,1792.000001,590.0000005,76.00000006,20070.00001,36.63892315,11561.00001,991,5979.000003,5007.000004,805.0000001,17062.00129,16743.00126,307.0000257,4151.000255,1280.000106,15177.00113,6910.000518,885.0000644,4531.000333,2048.000153,803.0000638,47744.99995,2487.999998,9107.999991,2158.999998,186.9999998,658.9999998,1318,2638.000002,752.0000003,6496.000006,8207.000006,2688.000001,1164,1458.000001,1613.000001,2837.000001,4182.000002,100719.856,7361.000003,4882.000002,875.0000004,824.0000004,15010
Near West Side,62733.00001,11833,26644,12873,6857.000001,2981,1209,336.0000001,42722,30.87222803,25940,5889.999998,17616,11658,1629,38745.00002,35679.00002,3034.000002,15836.00001,2209,32866.00002,11398.00001,1286.000001,9163.000003,10146.00001,873.0000006,241010.0004,9792.999999,13717,4187,510.9999999,3186,4679,4540,1534,15259,13524,6920.000002,2696,3445.999999,3037.999998,4882.999998,7224.999996,83574.72018,13040,9241.999996,3199.000001,2727,31509
New City,39463.09697,12518.13654,9407.741659,7172.154382,5920.720714,2787.951901,1413.391776,242.9999999,23783.26144,30.98723544,4597.857253,24384.74476,9316.033359,801.5065941,362.9550036,18332.08569,15178.64678,3153.43891,11045.80742,302.8023236,14623.11593,7635.491912,2666.550694,3211.909758,1003.834262,105.3293013,103255,3413.445074,5308.272857,2545.059533,1203.89511,6719.217222,11078.70287,3176.391777,1015.723041,1219.036462,574.1900699,4603.684211,3966.68421,1976.736842,1032.947368,615.736842,270.6315787,33227.28322,3478.789473,2781.842105,2271.052632,3934.736841,15582.93429
North Center,35704.99999,9150.999998,9093.999999,10025,4726.999999,1505,815.9999999,386.9999999,25205,34.55326656,27682.99999,4075.000002,591,1777,1578.999999,22208.99998,21468.99998,723.999999,5042.999994,2099.999997,19197.99998,9508.999991,1116,6761.999993,1571.999998,238.9999996,0,1794.999999,7111.999996,4708.999995,643.999999,1373,1859,2728,691.0000001,10898,7655.999998,1153,1429,1638,1889,2820,5331,115756.1728,4091,4644,2506,3018.999999,16163.00001
North Lawndale,33854.00001,10782,8284.000001,5939.000001,5278.000002,2150.000001,1007,414.0000002,19855,30.42362003,1017,2990.000002,29585.00001,56.00000009,206.0000003,13244.00001,10928,2316.000001,11959,431,10319,4783.000002,990.0000002,3921.000002,450.0000005,175,50815.00015,4742.000009,4384.000011,1626.000003,442.0000008,4863.000001,6196.000001,5185.000002,1154,1674,783.0000001,5343,2914,1268,853.9999999,611.9999999,203,26781.20617,3482,2745,2132,2834.999999,14566.00001
North Park,18450.99999,4474.999997,3878.999998,3315.999998,3115.999998,1739.999999,1149,776.0000001,12590.99999,39.23881323,9683.999996,2973.999998,565.9999999,4547.999997,678.9999997,9030.999999,8405.999999,624.9999994,5827.000001,418,7696.999999,4730.999999,882.9999995,1331,628.0000003,124,85704.99974,1229.999999,2707.999999,1995.999998,622.9999994,1641.999999,2311.999999,2109.999999,703.9999998,3659.999998,2162.999999,1610.999998,1442.999999,955,668.9999997,884.9999998,993.9999996,54827.95701,2138.999998,1820.999999,975.0000001,1622,7107.000004
Norwood Park,37311.96762,7753.076424,6584.941711,7571.02202,8293.001295,3568.071244,2100.023316,1441.831606,28063.95466,43.71898828,29761.07124,5071.091967,281.0660621,1346.435233,852.3031097,19844.95569,19058.69644,786.2592521,10906.98485,703.0037376,18057.54784,14617.18691,1217.149532,1839.123737,279.7444856,104.3431774,79254.99984,1827.683014,5102.503545,5987.495455,2119.842265,2085.531088,7391.652849,5474.768135,2166.870466,7211.976685,3733.15544,2330.989843,2253.396164,2504.783296,1889.671558,3104.976298,2948.569979,80649.45088,5088.805871,4617.516932,2150.77991,3175.284425,15940.78388
Oakland,6850.000002,2345.000001,1253,1638,987.0000003,441.0000001,158,27.99999997,4010.000001,33.1517094,155,270,6284.000002,96.99999994,44.00000001,3437.999998,2768.999998,668.9999996,1524.999999,225.9999997,2423.999998,1388.999999,184.9999998,690.9999998,131.9999999,26.99999997,0,1269,1442,259,126,477.0000001,964.0000002,1068,225,668.0000003,608,1379.000001,742.0000002,419,208.0000001,158.0000002,190.0000001,28611.11111,1463.000001,673.0000003,437.0000001,523.0000001,3348
O'Hare,12771.79774,2105.169491,3602.179661,2798.726553,2255.877966,965.9288137,737.838418,306.0768361,10131.56836,37.53981543,9593.117513,1077.361582,255.439548,1367.879096,478,7387.795234,6862.121277,525.6739566,3487.751492,147.8369782,6534.226644,4683.47714,470.2286285,1148.015905,63.50099407,169.0039763,75490.00008,762.3686229,3208.174943,1861.493862,344.8231109,1098.482486,2299.813559,2220.458757,771.821469,2580.707344,1160.284746,1564.917463,1468.753588,1338.373205,960.7966504,549.5155498,293.8289472,50990.30515,2401.425836,2289.355262,852.3624398,633.0418653,6718.79186
Portage Park,64954.39044,15354.43941,13893.83721,14046.40269,13643.65973,4324.608322,2503.626682,1187.816401,45473.32435,38.09396348,31828.95103,26999.08812,913.6695227,3517.681761,1695,36409.88882,34069.15608,2301.732739,16354.63628,1126.960257,32536.26435,22014.02912,3361.813607,5982.465477,868.97122,308.9849248,151640.0032,2702.784734,9160.617792,7704.810397,3041.576274,6529.510404,13031.60465,8580.020806,3540.700121,9018.916766,4772.571602,3852.893239,4573.316727,4243.284699,3462.583631,3375.049823,3102.295375,66309.30835,5782.572955,6698.943062,4108.996443,6018.911035,25133.49533
Pullman,6816.000001,1286.000001,1556,1413,1511,596,322.9999999,131,4924.000001,41.87082405,675.0000003,301.9999998,5691.000001,5.000000005,143,3861.999987,3214.999988,646.9999983,1864.999993,121.9999996,3009.999989,1894.999993,138.9999995,918.9999968,56.99999975,0,0,670.0000008,1574.000002,596.0000008,227.0000003,617.9999999,1194,1469,465.0000001,751.0000002,427,985.0000001,825.0000002,471.0000001,378.0000001,313.0000001,95.00000005,42489.58334,1369,906.0000002,451.0000001,341.0000001,3515.999999
Riverdale,7261.999999,3146,1847,1119,784.9999999,255.9999998,65.99999993,43.00000001,3393.999999,23.01396648,130.9999999,188.9999999,6920,22.00000002,0,2849.000006,1899.000004,950.000002,1817.000004,23.00000004,1834.000004,657.0000015,192.0000004,864.0000019,89.00000019,32.00000003,0,1382.999999,969.999999,151.9999998,54.99999995,615.9999998,995,1395,252.9999999,75,59.99999992,1666,623.0000003,113.0000001,43.00000004,95.00000006,20,13517.69912,781.0000002,677.0000002,458.0000001,644.0000003,3242.000001
Rogers Park,54872.00001,11616,16741,12252.00001,9206.000003,3099,1308,649.9999999,37959.00001,34.21590329,24110,11306.00001,14413,2985,2058.000001,32111,29945,2139,13894.99999,1765,27690,10876,1627.999999,11934,2777,475.0000001,526995.0002,9281,10993,3530,478,4906.000002,7464.000003,6712.000002,1793.000001,10010,7074.000001,7753.999998,6342,3867,2378,2240.999999,1700,40590.6822,11254,7561.999999,2122,3343.999999,27717
Roseland,41106.00001,10713,8014.000001,7145.000002,7957.000001,3797.000001,2617,863,27554.00001,39.11632101,489.9999997,533.0000002,39440.00001,148.9999999,493.9999999,18595.99995,14426.99996,4168.999989,14267.99995,467.9999984,13600.99996,7775.999979,1232.999997,4177.999988,290,123.9999999,127464.9983,3592.999997,6313.999994,3238.999996,1017.999999,4196,6943.000001,8506.000002,2429,3346.000001,2134,4819.999997,3796.999998,2215.999999,1390.999999,1384.999999,554.9999996,39303.54796,4806.999998,3901.999997,2281.999999,3172.999998,17801
South Chicago,29021,8726.000001,5752.000001,5493.000001,4812,2092,1666.000001,480.0000002,17808,35.09938838,648.9999999,5921.000002,22194,110,147.0000001,13062.00001,10624.00001,2438.000003,9082.00001,230.0000002,10137.00001,5358.000006,652.0000009,3859.000004,222.0000002,46.00000006,50335.00005,3677.999998,4035.000001,2265.000001,512.9999999,3340.000001,6304.000001,4157.000001,1311,1841,855.0000003,4100.999999,2822,1652,955.0000002,744,217,32844.96754,3469.999999,2926,1623,2472,14085
South Deering,14696.99997,4211.999993,2787.999994,2696.999996,2431.999996,1452.999997,831.9999977,282.9999995,9669.999981,37.01445087,688.9999984,4584.999992,9365.999982,1.000000001,55.99999999,6532.999996,5058.999996,1474,4991.999997,180.9999998,4718.999997,3246.999997,344.9999997,1017.999999,89.99999992,19.00000001,0,960.9999996,2489.000001,1262,493.9999996,2001.999997,3194.999993,2414.999995,690.999999,762.9999986,603.9999988,2024.999998,1392.999998,808.9999989,425.9999995,375.9999994,176.9999997,35436.68121,1669.999998,1497.999998,902.9999986,1134.999999,5927.000011
South Lawndale,74943,23798,20142,15112,10241,3412,1740,498,44053,29.95221971,3058,62345,9123.999999,112,303.9999999,28104.99999,25413.99999,2690.999998,28038,718.9999998,24397.99999,13241,5157.999998,4204.999999,1707,86.99999999,56045.00011,3893,8000.999998,4348.999999,1703,21074,12403,5191,1878,2776,731,6287.999999,6012,2900,1218,1152,376,33611.69102,3167,3926,2964,7888.999999,20830
South Shore,51543.00001,13305,10958,10118,10172,3951,2124.000001,915.0000004,34620.00001,37.08471531,1419,1215.000001,47967.00001,188,754.0000001,23876.08945,19716.9049,4159.184547,16735.82055,850.2204927,18625.81263,8362.797626,1245.852251,8264.705351,513.0625531,239.3948488,0,10106.41603,9365.844971,2760.031011,845.5969002,3540,8780.000002,10743,3117,4813.000001,3627,10653,5226,3103,1661.999999,1655,779,29889.62472,11771,5333,2798,3176,29377
The Loop,37647.00001,5217.000004,16344.00001,7199.000001,5322.000002,2179.000001,1123.000001,263.0000001,28702.00001,32.48113728,23448.00001,3106.000001,3363.000001,6558.000002,1172,25663.00031,24213.00029,1356.000016,9864.000131,1900.000028,21955.00026,5494.000069,689.0000077,5375.000048,9646.000129,751.0000075,302054.9997,8696.999992,9678.999993,1793.999999,24.99999994,399.9999998,1047,3161.000001,1037,11001,12056,2509.999998,2046.999998,2075.999998,2745.999998,4211.999997,6603.999995,107245.8653,10230.99999,7939.999994,1433.999999,589.9999994,24389.00001
Uptown,58424.00001,7967.000002,19259,13493,10476,3830.000001,2227,1172,46103,36.94515181,31595,8847.000002,10235,5806.000001,1941,37091.99995,35114.99996,1936.999997,14610.99998,2100.999998,32645.99996,11540.99998,1521.999998,16166.99998,2834.999996,580.9999995,497019.9997,11862.00001,13476.00001,3793.000002,611.0000006,4675.000001,7276,6291.000001,2577,15877,9407.000001,8473.999999,6020,4236,3202,3836,3973.999999,51888.77755,15291,9087.999999,3144,2219,32892
Washington Heights,27354,6202,5590,4890,5651.999999,2456,1844,720,18904,41.66354264,268,163,26516,38.00000001,369.0000001,13165,10750,2394.999999,9555.999998,289.0000001,10311,6600,970.9999997,2461,115.9999999,163,37389.99985,1599.000003,4503.000007,2402.000003,981.0000005,1833,5556.000001,5568.999999,1587,2650.999999,1708,2854.000001,1885,1716,1115,1294,620.9999997,50047.55434,2980,2618,1902.000001,1985,10555
Washington Park,11355,3937.000002,2848.000001,1853.000001,1716.000001,526.0000002,242.0000001,233.0000001,6711.000002,30.38156797,123,243,10403,20.99999999,565.0000002,4846,3892,954.0000001,3267.000001,176.9999999,3613,1715,180.9999999,1402,244.9999999,70.00000001,0,2065.000001,1968.000001,457.0000003,48.00000005,1090,2225.000001,1850.000001,356.0000001,861.0000002,329.0000001,2152.999999,1209,614.9999999,224,300.9999999,36.00000002,27457.62712,1947,996.9999998,664.9999998,928.9999998,5782
West Elsdon,19362.91849,6227.707754,4345.381711,3957.043739,2782.021869,1380.948311,421.8151095,248.0000001,11645.36183,31.67958831,2864.24851,15772.26442,291.1590462,414.0874757,21.15904576,9357.952876,8288.075541,1069.877334,5128.250198,108.4142972,7891.283503,5155.774975,749.1088539,1618.778228,332.4874084,35.13403744,110274.9999,471.9620262,1700.95781,1966.447261,1057.641352,3074.161034,4282.415508,2023.419484,820.7157058,1080.934394,363.7157059,861.2455358,1472.946429,1147.098215,549.0401786,862.4553574,304.2276788,55379.52371,931.4062501,1012.258929,861.9241075,2391.424108,5520.899798
West Englewood,28236.99999,7591.999997,5117.999999,4968.999998,5214.999999,2975.999999,1758.999999,607.9999999,18915.99999,39.50287724,308,2189.999999,25327.99999,3.999999996,406.9999998,11624,8143.999998,3479.999999,10499,278.0000002,7661.999998,4443.999999,607.9999996,2282.999999,237.9999998,88.99999984,13975.00003,3573.999999,3726.999999,1718,502,3995.999999,8156.999997,3872.999999,1147,1130,612.9999998,4393.999999,2576,1288,487.9999996,495.0000001,280,27759.78916,3347.999999,2294,1569,2310,12920
West Garfield Park,16950.0006,5794.008291,3399.847248,2983.179397,2890.226762,864.4310245,742.2368266,276.0710481,9862.092365,30.89478911,357.9999998,447.4594435,15887.54115,54.99999995,202.0000001,5909.571941,4849.956191,1059.61575,6301.917708,147.0473652,4556.908825,2517.710482,190.0899943,1662.885733,66.07578449,120.1468326,18990.00006,2378.712305,1923.294628,737.0121319,294.0277296,2740.458852,3578.155714,2358.05151,634.0852579,377.3126111,174.0284193,2705.668978,1223.235702,758.0831889,380.0294627,170.0207972,96.00866557,24590.55263,1706.440209,1214.259965,993.1178508,1419.22877,7349.973973
West Lawn,32176,10518,6839.999999,7047.999999,4408.999999,2042,986.9999999,331.9999999,19535,32.34087102,4424.999999,26608,829.9999993,224,88.99999993,15739.99998,13714.99998,2024.999998,8247.999991,212.9999994,12872.99999,8839.999991,1833.999996,1797.999999,361.9999996,38.99999989,0,852.0000005,3672.00001,3060.000005,1644.000005,5782.999999,7382.999999,3158.999999,944,1730,535.9999997,1740.000001,2776.000001,1937.000002,1002.000001,1275.000001,498.0000004,51081.67771,1926.000001,1971.000001,1501.000001,3830.000002,9893.000002
West Pullman,27480.06008,7460.256039,5849.675373,4604.24167,5318.21293,2568.537557,1288.136512,390.9999998,17662.55976,36.71416039,184.9999995,1569.999999,25318.06008,18.99999985,387.9999996,13132.8821,10056.2197,3076.6624,8468.950109,318.0000007,9430.167563,6344.532768,845.1134665,1926.36493,113.1563983,201.0000002,36714.99996,1679.611373,3750.484436,2541.873064,983.6697848,2527.323317,5788.083603,5211.536249,1221.560418,1752.804702,1161.251469,2973.728781,2158.74354,1542.051659,916.8487077,904.3874533,459.1107007,41079.19301,2591.928042,2587.503688,1499.63653,2275.802581,11271.19321
West Ridge,77212.00002,21420.00001,16735.00001,14840,14012,5913.000001,2929.000001,1363,51236.00002,35.42141656,32200,14178.00001,10320,16987.00001,3527.000002,38311.00002,35352.00002,2959.000001,21402.00001,1271.000001,33368.00001,19146,3565.000002,7017.000007,2949.000001,691.0000006,149605.0001,3830.999999,12664,6896.999999,2209.999999,9135.000003,11390,7661.000002,2912.000001,12599,7539.000002,5685.000002,6672.000002,4739,2532,3384.999999,2588.999999,52038.56748,6679.000001,7585,3882,7456.000001,28272
West Town,84255,13212,38188,19224,8688,2995,1480,468.0000003,65772,31.98278667,52801,19108,5910,4043.999999,2392,60441.00751,58312.72594,2123.281572,12414.84285,4371.586531,53030.75493,22773.60619,3361.212349,19935.39196,5714.468664,1246.075772,448495.0002,7759.819951,19439.83658,8696.556793,1663.033242,4686.000001,6082.000002,7199,2378,28476,16951,5077.000001,4439.000001,5357,4563.000001,7086.000001,11072,96499.0138,12952,15134,5411,4097,41075.00001
Woodlawn,22925,7132.000001,5331,3834,4057,1601,699.0000001,270.9999999,13390,31.42933619,1852,748.9999999,19012,847,465.0000002,9623.910549,7908.095097,1715.815453,8401.179445,407.7795071,7276.18737,3284.202375,478.1477491,2492.294648,916.9374465,104.6051513,16264.99998,3840.583983,3878.155043,1292.968993,201.4031009,1947,3087.999999,3694,1009,1911,1741,4433.000002,2005.000001,1048.000001,690.0000003,635.0000004,402.0000002,26415.17129,4260.000002,2244.000001,1205.000001,1504.000001,11829